num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,trades_per_day
13,61.53846153846154,2.4206657609296247,15.428454105477796,-5.01506466454378,0.5717680797127236,1154.284541054778,37.54487771254457,AAPL/USD,70,0.05263157894736842
9,55.55555555555556,1.5245591186278362,5.207142993876914,-4.946441633164931,0.30168303918299694,1052.0714299387691,21.531054734763543,AAPL/USD,80,0.03643724696356275
7,57.14285714285714,1.595908031594289,4.289231073181168,-4.519810730935098,0.3176889031222944,1042.8923107318117,15.066370113449072,AAPL/USD,90,0.02834008097165992
85,47.05882352941176,1.049409618343391,7.032145814085311,-35.83043576242845,0.06087917152801999,1070.321458140853,389.36831361224534,AMZN/USD,0,0.3386454183266932
70,51.42857142857142,1.2536194991996927,28.592599761530618,-27.90483695248885,0.20068690324087748,1285.9259976153062,310.6009839336112,AMZN/USD,20,0.2788844621513944
60,53.333333333333336,1.3837188066766288,37.12418898391313,-22.832344577066646,0.2855059620215197,1371.2418898391313,276.28042510576364,AMZN/USD,30,0.23904382470119523
50,54.0,1.4114806454056958,30.64218784092727,-19.021824009740556,0.2890857153656999,1306.4218784092727,215.1560195395807,AMZN/USD,40,0.199203187250996
37,59.45945945945946,1.770371420938291,37.81677405985715,-11.617299060500178,0.45626030045515104,1378.1677405985715,161.6735172701017,AMZN/USD,50,0.14741035856573706
27,55.55555555555556,1.4931436495988384,17.705336303682977,-10.878069579449285,0.3245603449195122,1177.0533630368298,110.51098213665715,AMZN/USD,60,0.10756972111553785
22,63.63636363636363,2.0776115534704416,26.448432944861587,-10.8780695794493,0.5567912316091358,1264.4843294486159,91.30623593944628,AMZN/USD,70,0.08764940239043825
17,58.82352941176471,1.8512143852647627,17.364479345045584,-8.303866277889377,0.4953742808682489,1173.6447934504558,65.02648372472605,AMZN/USD,80,0.06772908366533864
8,50.0,1.3088890845488244,3.3101152468071176,-4.859635501955757,0.2277976372313733,1033.1011524680712,27.982935494442145,AMZN/USD,90,0.03187250996015936
