symbol,strategy,direction,entry_datetime,exit_datetime,exit_reason,pnl_net,r_multiple,capital_after
SOL/USDT:USDT,v1_sniper,long,2026-03-19 10:00:00+00:00,2026-03-19 11:30:00+00:00,stop_loss,-2.364232109197262,-1.182116054598631,365.6843590121784
BNB/USDT:USDT,v1_sniper,short,2026-03-19 08:15:00+00:00,2026-03-19 20:15:00+00:00,time_exit,1.003198721434124,0.501599360717062,366.6875577336125
ETH/USDT:USDT,v1_sniper,long,2026-03-20 08:00:00+00:00,2026-03-20 13:30:00+00:00,stop_loss,-2.199618273707821,-1.0998091368539105,364.4879394599047
XAUT/USDT:USDT,v1_sniper,short,2026-03-23 00:15:00+00:00,2026-03-23 00:30:00+00:00,take_profit,3.8058796970209006,1.9029398485104503,368.29381915692557
SOL/USDT:USDT,v1_sniper,short,2026-03-23 08:45:00+00:00,2026-03-23 11:00:00+00:00,stop_loss,-2.2055728176360727,-1.1027864088180364,366.08824633928947
ADA/USDT:USDT,v1_sniper,short,2026-03-23 15:45:00+00:00,2026-03-24 01:30:00+00:00,take_profit,3.776866567932031,1.8884332839660154,369.8651129072215
SOL/USDT:USDT,v1_sniper,short,2026-03-23 15:30:00+00:00,2026-03-24 03:30:00+00:00,time_exit,1.6529101815964458,0.8264550907982229,371.5180230888179
NCSKAMZN2USD/USDT:USDT,v1_sniper,short,2026-03-23 15:45:00+00:00,2026-03-24 13:30:00+00:00,take_profit,3.6056192074496836,1.8028096037248418,375.12364229626763
ETH/USDT:USDT,v1_sniper,short,2026-03-24 13:30:00+00:00,2026-03-24 13:45:00+00:00,take_profit,3.4359040132409344,1.7179520066204672,378.55954630950856
SOL/USDT:USDT,v1_sniper,short,2026-03-25 08:00:00+00:00,2026-03-25 08:30:00+00:00,stop_loss,-2.3830982892690438,-1.1915491446345219,376.1764480202395
HYPE/USDT:USDT,v1_sniper,short,2026-03-25 14:00:00+00:00,2026-03-25 14:30:00+00:00,take_profit,3.7557160146061586,1.8778580073030793,379.93216403484564
NCSKAAPL2USD/USDT:USDT,v1_sniper,short,2026-03-25 13:45:00+00:00,2026-03-25 14:45:00+00:00,stop_loss,-2.437093864086216,-1.218546932043108,377.49507017075945
BNB/USDT:USDT,v1_sniper,short,2026-03-25 15:15:00+00:00,2026-03-25 16:15:00+00:00,stop_loss,-2.3546109840614737,-1.1773054920307369,375.14045918669797
BTC/USDT:USDT,v1_sniper,short,2026-03-25 15:15:00+00:00,2026-03-25 16:15:00+00:00,stop_loss,-2.318973028042109,-1.1594865140210544,372.82148615865583
NCSISP5002USD/USDT:USDT,v1_sniper,short,2026-03-25 13:45:00+00:00,2026-03-26 01:45:00+00:00,time_exit,1.0201903053708183,0.5100951526854092,373.84167646402665
ETH/USDT:USDT,v1_sniper,short,2026-03-25 14:00:00+00:00,2026-03-26 02:00:00+00:00,time_exit,1.682250656349342,0.841125328174671,375.523927120376
HYPE/USDT:USDT,v1_sniper,long,2026-03-26 09:00:00+00:00,2026-03-26 11:15:00+00:00,stop_loss,-2.372803622192437,-1.1864018110962185,373.15112349818355
NCSINASDAQ1002USD/USDT:USDT,v1_sniper,long,2026-03-26 14:00:00+00:00,2026-03-26 14:45:00+00:00,stop_loss,-2.412158185689684,-1.206079092844842,370.73896531249386
NCSISP5002USD/USDT:USDT,v1_sniper,long,2026-03-26 13:45:00+00:00,2026-03-26 16:15:00+00:00,stop_loss,-2.681602033279096,-1.340801016639548,368.05736327921477
NCCOXAG2USD/USDT:USDT,v1_sniper,short,2026-03-27 08:15:00+00:00,2026-03-27 10:30:00+00:00,take_profit,3.6632210666725626,1.8316105333362813,371.72058434588735
