num_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,avg_r_multiple,final_capital,total_fees,symbol,min_swing_percentile,tp_rr_ratio
80,37.5,1.2325625517386392,26.570987178577386,-29.356602405606985,0.17444878887130547,1265.7098717857739,141.96749739961257,HYPE/USD,30,2.5
39,41.02564102564102,0.9619453376978158,-2.1510163513066347,-18.813619842906483,-0.003262796352744222,978.4898364869337,143.47505268063225,AAPL/USD,30,2.5
60,46.666666666666664,1.2706613611249826,26.93249979672671,-22.91690048879727,0.22591662886941652,1269.324997967267,256.4158669108831,AMZN/USD,30,2.5
72,20.833333333333336,0.44573244921717975,-59.48966352686513,-63.40809513504099,-0.6064156392341007,405.1033647313487,171.3466404958453,BTC,30,3.0
53,28.30188679245283,0.8239579392591754,-14.116681929021263,-33.285622924019364,-0.11639326658606458,858.8331807097874,114.97586811860316,ETH,30,3.0
67,32.83582089552239,0.659708895192342,-33.531031330209395,-34.74649290464524,-0.2797205812254716,664.689686697906,252.41750031600438,XAUT,30,3.0
59,50.847457627118644,1.336284894563793,30.656559562182927,-17.200780239279254,0.2585074212708614,1306.5655956218293,343.3158203836672,SP500/USD,30,3.0
61,40.98360655737705,1.0567078635630118,5.941327873057639,-23.28160918519621,0.07661952473292487,1059.4132787305764,322.63537931086944,NASDAQ100/USD,30,3.0
29,34.48275862068966,1.1187189892436624,5.802960245182043,-19.174539642904005,0.1284296391885099,1058.0296024518204,70.50808001751818,OIL_BRENT/USD,30,3.0
28,46.42857142857143,1.614060616999029,26.747979156703355,-15.264174652759937,0.45808427797375595,1267.4797915670335,78.00651461756163,SILVER/USD,30,3.0
79,35.44303797468354,1.278530776251885,31.07479425976758,-27.31152153579184,0.20365303910528035,1310.7479425976758,135.51754696923916,HYPE/USD,30,3.0
39,38.46153846153847,1.0069718948149773,0.42125610583358364,-18.813619842906483,0.03526156262161521,1004.2125610583358,146.47509669174806,AAPL/USD,30,3.0
59,35.59322033898305,0.9341215326100778,-6.549827987995821,-32.459151835334836,-0.02768425027156823,934.5017201200418,215.73223140644285,AMZN/USD,30,3.0
43,37.2093023255814,0.6015424383505753,-23.821703690675953,-30.154816835307248,-0.3009734213705714,761.7829630932405,112.36571549545323,BTC,50,1.5
32,43.75,0.8819023767795687,-4.632981676835516,-10.375373212157701,-0.06006167521748731,953.6701832316448,71.7703602067655,ETH,50,1.5
45,44.44444444444444,0.6180551813723354,-22.833470895964876,-25.19166644915098,-0.27296196767043196,771.6652910403512,175.05767152616437,XAUT,50,1.5
43,60.46511627906976,1.0958547349557373,4.8896989215439595,-8.680309393924956,0.06989231585392361,1048.8969892154396,237.5712693975146,SP500/USD,50,1.5
43,46.51162790697674,0.705584394932297,-16.388388737975266,-22.307558910267804,-0.1934150491672636,836.1161126202473,175.00741837951097,NASDAQ100/USD,50,1.5
19,68.42105263157895,2.2293492740574714,22.619104023679597,-9.41967316132207,0.5537627834127166,1226.191040236796,45.73698591475953,OIL_BRENT/USD,50,1.5
19,52.63157894736842,1.3057813313060718,6.438353155523532,-9.967883851563789,0.17935156924293233,1064.3835315552353,45.63133258971146,SILVER/USD,50,1.5
60,56.666666666666664,1.5270565385221473,38.82455044101582,-12.32438567591047,0.2896388759669559,1388.2455044101582,119.38207516407155,HYPE/USD,50,1.5
27,37.03703703703704,0.5422663447303587,-18.2762611762406,-18.2762611762406,-0.35667130044010736,817.237388237594,98.67551481949418,AAPL/USD,50,1.5
37,59.45945945945946,1.3069731756404521,13.349706146345783,-12.597395971013938,0.18445550660927476,1133.4970614634578,144.66235641365574,AMZN/USD,50,1.5
41,24.390243902439025,0.4634836610638623,-35.37171237504537,-37.920198023811054,-0.513312545021391,646.2828762495463,103.75192221938565,BTC,50,2.0
31,29.03225806451613,0.5974184471566867,-17.608501916610088,-20.610437131375072,-0.2948825463171159,823.9149808338991,60.737863490839736,ETH,50,2.0
45,33.33333333333333,0.5237273394412283,-31.891168515758718,-32.65858807600181,-0.40754653268137075,681.0883148424128,164.44393576962784,XAUT,50,2.0
